Start Location,"I-205"
End Location,"Bridge"
Project,""
Start Date,3/29/2013 12:00 AM
End Date,3/31/2013 11:59 PM

Trip Distance(mi),6.73
Expected Travel Time(s),400 (6:40)
Number of Trips,29877
Average Speed(mph),61.6
Average Travel Time(s),393 (6:33)
Standard Deviation,71.9
15th Percentile Travel Time(s),384.5 (6:24)
85th Percentile Travel Time(s),408 (6:48)
95th Percentile Travel Time(s),445.5 (7:25)

* - Values are estimates due to missing data.

Start Time,Average Speed(mph),Average Travel Time(s),Number of Trips
"3/29/2013 11:00:00 AM*",60.5,401,21
"3/29/2013 11:15:00 AM*",60.5,401,112
"3/29/2013 11:30:00 AM*",60.4,401,164
"3/29/2013 11:45:00 AM*",61.1,396,149
"3/29/2013 12:00:00 PM",59.5,407,229
"3/29/2013 12:15:00 PM",58.9,411,276
"3/29/2013 12:30:00 PM",61.1,396,200
"3/29/2013 12:45:00 PM",60.1,403,247
"3/29/2013 1:00:00 PM",61.2,396,249
"3/29/2013 1:15:00 PM",61.6,393,246
"3/29/2013 1:30:00 PM",61,397,235
"3/29/2013 1:45:00 PM",61.7,393,224
"3/29/2013 2:00:00 PM",61.5,394,269
"3/29/2013 2:15:00 PM",60,404,189
"3/29/2013 2:30:00 PM",60.6,400,257
"3/29/2013 2:45:00 PM",62.1,390,237
"3/29/2013 3:00:00 PM",61.1,397,203
"3/29/2013 3:15:00 PM",61.4,395,213
"3/29/2013 3:30:00 PM",62,391,232
"3/29/2013 3:45:00 PM",61.7,393,262
"3/29/2013 4:00:00 PM",61.4,394,246
"3/29/2013 4:15:00 PM",62.7,386,191
"3/29/2013 4:30:00 PM",62,391,162
"3/29/2013 4:45:00 PM",61.1,396,184
"3/29/2013 5:00:00 PM",62.2,390,236
"3/29/2013 5:15:00 PM",61.3,395,207
"3/29/2013 5:30:00 PM",63.3,383,236
"3/29/2013 5:45:00 PM",61.4,395,173
"3/29/2013 6:00:00 PM",62.1,390,176
"3/29/2013 6:15:00 PM",60.8,398,238
"3/29/2013 6:30:00 PM",62.4,388,168
"3/29/2013 6:45:00 PM",62,391,178
"3/29/2013 7:00:00 PM",62.6,387,177
"3/29/2013 7:15:00 PM",63.1,384,247
"3/29/2013 7:30:00 PM",63.2,383,157
"3/29/2013 7:45:00 PM",61.9,391,127
"3/29/2013 8:00:00 PM",62.6,387,129
"3/29/2013 8:15:00 PM",60.9,398,140
"3/29/2013 8:30:00 PM",61.7,393,151
"3/29/2013 8:45:00 PM",62.4,388,139
"3/29/2013 9:00:00 PM",62.2,389,158
"3/29/2013 9:15:00 PM",62.2,389,118
"3/29/2013 9:30:00 PM",62.2,390,123
"3/29/2013 9:45:00 PM",63.1,384,122
"3/29/2013 10:00:00 PM",60.3,402,102
"3/29/2013 10:15:00 PM",59.4,408,120
"3/29/2013 10:30:00 PM",60.1,403,118
"3/29/2013 10:45:00 PM",60.6,400,80
"3/29/2013 11:00:00 PM",61.3,395,69
"3/29/2013 11:15:00 PM",60.3,402,79
"3/29/2013 11:30:00 PM",62.3,389,46
"3/29/2013 11:45:00 PM",60.1,403,55
"3/30/2013 12:00:00 AM",61.3,395,71
"3/30/2013 12:15:00 AM",57.6,420,41
"3/30/2013 12:30:00 AM",59,410,29
"3/30/2013 12:45:00 AM",57.6,421,36
"3/30/2013 1:00:00 AM",60.7,399,31
"3/30/2013 1:15:00 AM",59.5,407,28
"3/30/2013 1:30:00 AM",58.8,412,43
"3/30/2013 1:45:00 AM",60,404,40
"3/30/2013 2:00:00 AM",59.6,406,24
"3/30/2013 2:15:00 AM",57.6,420,11
"3/30/2013 2:30:00 AM",56.9,426,29
"3/30/2013 2:45:00 AM",59.7,406,36
"3/30/2013 3:00:00 AM",57,425,22
"3/30/2013 3:15:00 AM",58.7,413,22
"3/30/2013 3:30:00 AM",61.4,394,18
"3/30/2013 3:45:00 AM",61.2,396,31
"3/30/2013 4:00:00 AM*",59.6,406,3
"3/30/2013 4:15:00 AM",58.1,417,29
"3/30/2013 4:30:00 AM",56.6,428,12
"3/30/2013 4:45:00 AM",58.1,417,24
"3/30/2013 5:00:00 AM",58.8,412,51
"3/30/2013 5:15:00 AM",62.2,390,47
"3/30/2013 5:30:00 AM",61.8,392,32
"3/30/2013 5:45:00 AM",61.1,396,50
"3/30/2013 6:00:00 AM",62.2,390,56
"3/30/2013 6:15:00 AM",60.4,401,75
"3/30/2013 6:30:00 AM",61.6,393,73
"3/30/2013 6:45:00 AM",63.8,380,50
"3/30/2013 7:00:00 AM",63,384,83
"3/30/2013 7:15:00 AM",63.8,380,66
"3/30/2013 7:30:00 AM",62.4,388,108
"3/30/2013 7:45:00 AM",62.1,390,74
"3/30/2013 8:00:00 AM",62.6,387,81
"3/30/2013 8:15:00 AM",62,391,117
"3/30/2013 8:30:00 AM",62.3,389,138
"3/30/2013 8:45:00 AM",63.1,384,177
"3/30/2013 9:00:00 AM",62.4,388,177
"3/30/2013 9:15:00 AM",62,391,160
"3/30/2013 9:30:00 AM",61.9,391,178
"3/30/2013 9:45:00 AM",62.6,387,172
"3/30/2013 10:00:00 AM",60.8,399,220
"3/30/2013 10:15:00 AM",62,391,214
"3/30/2013 10:30:00 AM",62.1,390,223
"3/30/2013 10:45:00 AM",61.6,393,217
"3/30/2013 11:00:00 AM",62.5,388,203
"3/30/2013 11:15:00 AM",62.3,389,230
"3/30/2013 11:30:00 AM",60.6,400,181
"3/30/2013 11:45:00 AM",29.3,827,205
"3/30/2013 12:00:00 PM",25.4,953,254
"3/30/2013 12:15:00 PM",27.8,872,288
"3/30/2013 12:30:00 PM",28.3,857,223
"3/30/2013 12:45:00 PM",30.8,786,231
"3/30/2013 1:00:00 PM",36.3,668,258
"3/30/2013 1:15:00 PM",39.8,609,229
"3/30/2013 1:30:00 PM",43.9,552,233
"3/30/2013 1:45:00 PM",48.7,498,223
"3/30/2013 2:00:00 PM",53.8,450,229
"3/30/2013 2:15:00 PM",54.3,446,252
"3/30/2013 2:30:00 PM",62.5,388,208
"3/30/2013 2:45:00 PM",60.5,400,244
"3/30/2013 3:00:00 PM",53.7,451,162
"3/30/2013 3:15:00 PM",60.9,398,174
"3/30/2013 3:30:00 PM",60.9,398,198
"3/30/2013 3:45:00 PM",62.4,388,226
"3/30/2013 4:00:00 PM",62.1,390,219
"3/30/2013 4:15:00 PM",62.2,390,176
"3/30/2013 4:30:00 PM",63.7,380,149
"3/30/2013 4:45:00 PM",61.5,394,162
"3/30/2013 5:00:00 PM",62.9,385,174
"3/30/2013 5:15:00 PM",63,385,167
"3/30/2013 5:30:00 PM",62.6,387,177
"3/30/2013 5:45:00 PM",63.1,384,161
"3/30/2013 6:00:00 PM",62.8,386,162
"3/30/2013 6:15:00 PM",61.8,392,174
"3/30/2013 6:30:00 PM",46.5,521,146
"3/30/2013 6:45:00 PM",62.2,389,151
"3/30/2013 7:00:00 PM",63,385,122
"3/30/2013 7:15:00 PM",61.8,392,70
"3/30/2013 7:30:00 PM",63.6,381,151
"3/30/2013 7:45:00 PM",62.6,387,99
"3/30/2013 8:00:00 PM",59.7,406,101
"3/30/2013 8:15:00 PM",59.3,408,107
"3/30/2013 8:30:00 PM",61.2,396,85
"3/30/2013 8:45:00 PM",62.7,386,80
"3/30/2013 9:00:00 PM",60.5,400,96
"3/30/2013 9:15:00 PM",59.9,404,95
"3/30/2013 9:30:00 PM",62.2,389,84
"3/30/2013 9:45:00 PM",62,391,84
"3/30/2013 10:00:00 PM",60.9,398,86
"3/30/2013 10:15:00 PM",60.7,399,67
"3/30/2013 10:30:00 PM",60.3,402,67
"3/30/2013 10:45:00 PM",60.4,401,61
"3/30/2013 11:00:00 PM",63.3,383,75
"3/30/2013 11:15:00 PM",62.5,388,37
"3/30/2013 11:30:00 PM",60.7,399,28
"3/30/2013 11:45:00 PM",60.9,398,48
"3/31/2013 12:00:00 AM",63.5,381,31
"3/31/2013 12:15:00 AM",58.5,414,47
"3/31/2013 12:30:00 AM",59.5,407,29
"3/31/2013 12:45:00 AM",59.6,406,53
"3/31/2013 1:00:00 AM",61.7,393,18
"3/31/2013 1:15:00 AM",62,391,22
"3/31/2013 1:30:00 AM",55.4,437,25
"3/31/2013 1:45:00 AM",60.5,400,46
"3/31/2013 2:00:00 AM",62.1,390,36
"3/31/2013 2:15:00 AM",56.6,428,31
"3/31/2013 2:30:00 AM",58.7,413,18
"3/31/2013 2:45:00 AM",58.5,414,12
"3/31/2013 3:00:00 AM",60.4,401,31
"3/31/2013 3:15:00 AM",59.6,407,18
"3/31/2013 3:30:00 AM*",59.3,409,7
"3/31/2013 3:45:00 AM*",63.5,381,4
"3/31/2013 4:00:00 AM*",56.7,427,4
"3/31/2013 4:15:00 AM",60.2,402,18
"3/31/2013 4:30:00 AM",56.4,429,5
"3/31/2013 4:45:00 AM",59.8,405,18
"3/31/2013 5:00:00 AM*",61.1,396,9
"3/31/2013 5:15:00 AM",59.3,409,14
"3/31/2013 5:30:00 AM",61.1,396,11
"3/31/2013 5:45:00 AM",59.7,406,21
"3/31/2013 6:00:00 AM",61.4,394,23
"3/31/2013 6:15:00 AM",60.5,400,42
"3/31/2013 6:30:00 AM",59,410,45
"3/31/2013 6:45:00 AM",63,385,43
"3/31/2013 7:00:00 AM",62.5,388,35
"3/31/2013 7:15:00 AM",60.3,402,61
"3/31/2013 7:30:00 AM",61.8,392,46
"3/31/2013 7:45:00 AM",60.1,403,74
"3/31/2013 8:00:00 AM",61.4,394,55
"3/31/2013 8:15:00 AM",61.9,391,65
"3/31/2013 8:30:00 AM",60.2,402,81
"3/31/2013 8:45:00 AM",63.1,384,87
"3/31/2013 9:00:00 AM",61.4,395,92
"3/31/2013 9:15:00 AM",62.5,388,111
"3/31/2013 9:30:00 AM",63,385,137
"3/31/2013 9:45:00 AM",63.6,381,132
"3/31/2013 10:00:00 AM",62.6,387,134
"3/31/2013 10:15:00 AM",63.2,383,137
"3/31/2013 10:30:00 AM",61.1,397,114
"3/31/2013 10:45:00 AM",62.4,388,131
"3/31/2013 11:00:00 AM",63.3,383,163
"3/31/2013 11:15:00 AM",61.4,395,185
"3/31/2013 11:30:00 AM",61.9,391,134
"3/31/2013 11:45:00 AM",61.4,395,141
"3/31/2013 12:00:00 PM",62.6,387,170
"3/31/2013 12:15:00 PM",61.2,396,194
"3/31/2013 12:30:00 PM",61.2,396,176
"3/31/2013 12:45:00 PM",62.6,387,182
"3/31/2013 1:00:00 PM",62,391,218
"3/31/2013 1:15:00 PM",62,391,132
"3/31/2013 1:30:00 PM",62.6,387,229
"3/31/2013 1:45:00 PM",64,379,155
"3/31/2013 2:00:00 PM",63.1,384,142
"3/31/2013 2:15:00 PM",62.2,389,142
"3/31/2013 2:30:00 PM",62.6,387,172
"3/31/2013 2:45:00 PM",63.5,382,147
"3/31/2013 3:00:00 PM",63.6,381,115
"3/31/2013 3:15:00 PM",64.6,375,155
"3/31/2013 3:30:00 PM",63.2,383,169
"3/31/2013 3:45:00 PM",63.6,381,164
"3/31/2013 4:00:00 PM",63,385,146
"3/31/2013 4:15:00 PM",62.6,387,156
"3/31/2013 4:30:00 PM",63.9,379,182
"3/31/2013 4:45:00 PM",63.5,382,156
"3/31/2013 5:00:00 PM",63.5,381,179
"3/31/2013 5:15:00 PM",63.5,381,170
"3/31/2013 5:30:00 PM",64.4,376,171
"3/31/2013 5:45:00 PM",63,385,209
"3/31/2013 6:00:00 PM",62.6,387,195
"3/31/2013 6:15:00 PM",63.5,381,171
"3/31/2013 6:30:00 PM",62.6,387,169
"3/31/2013 6:45:00 PM",64,378,152
"3/31/2013 7:00:00 PM",61.6,393,163
"3/31/2013 7:15:00 PM",62.8,386,161
"3/31/2013 7:30:00 PM",62.8,386,123
"3/31/2013 7:45:00 PM",62.6,387,116
"3/31/2013 8:00:00 PM",60.8,399,111
"3/31/2013 8:15:00 PM",60.2,402,114
"3/31/2013 8:30:00 PM",62.2,390,132
"3/31/2013 8:45:00 PM",62.6,387,117
"3/31/2013 9:00:00 PM",61.8,392,132
"3/31/2013 9:15:00 PM",59.5,407,84
"3/31/2013 9:30:00 PM",62.7,386,77
"3/31/2013 9:45:00 PM",61.2,396,72
"3/31/2013 10:00:00 PM",62.2,389,68
"3/31/2013 10:15:00 PM",61.6,393,83
"3/31/2013 10:30:00 PM",62.9,385,62
"3/31/2013 10:45:00 PM",62.1,390,39
"3/31/2013 11:00:00 PM",61.8,392,32
"3/31/2013 11:15:00 PM",62.2,389,31
"3/31/2013 11:30:00 PM",60.1,403,22
"3/31/2013 11:45:00 PM",61,397,27
